ACCOUNT,GL_L1,GL_L2,GL_L3,ITFM_CATEGORY
785096,2. Total Overhead Costs,18. Other Expenses,Flowers and others,27 - Other Expenses
785097,2. Total Overhead Costs,18. Other Expenses,Publication on New building,27 - Other Expenses
785098,2. Total Overhead Costs,18. Other Expenses,INTERNATIONAL AIRPORT EXPENS,27 - Other Expenses
785099,2. Total Overhead Costs,18. Other Expenses,OTHER MISC ADM exp,27 - Other Expenses
785100,2. Total Overhead Costs,18. Other Expenses,TRACEABILITY PROJECT,27 - Other Expenses
799599,2. Total Overhead Costs,18. Other Expenses,Uninsured Losses,27 - Other Expenses
895500,2. Total Overhead Costs,18. Other Expenses,Selling (CC18)-Non PR,27 - Other Expenses
895507,2. Total Overhead Costs,18. Other Expenses,Selling- Miscellaneous,27 - Other Expenses
900000,2. Total Overhead Costs,18. Other Expenses,Other (Income) Expense - Net,27 - Other Expenses
714009,2. Total Overhead Costs,18. Other Expenses,Registration Fees,27 - Other Expenses
714006,2. Total Overhead Costs,18. Other Expenses,Other Prof Services,23 - Other Professional Services
737076,2. Total Overhead Costs,18. Other Expenses,Moving Expenses,27 - Other Expenses
782073,2. Total Overhead Costs,18. Other Expenses,ALLOCATION EXPENSES,A - REVENUE / CHARGEBACK
785101,2. Total Overhead Costs,18. Other Expenses,CUOTA EUROPEA EXPENSES,27 - Other Expenses
756515,2. Total Overhead Costs,18. Other Expenses,Timbre Educación y Cultura,27 - Other Expenses
782017,2. Total Overhead Costs,18. Other Expenses,Comisiones Bancarias,27 - Other Expenses
782094,2. Total Overhead Costs,18. Other Expenses,Cuenta Puenta,27 - Other Expenses
782099,2. Total Overhead Costs,18. Other Expenses,Gastos no Deducibles,27 - Other Expenses
725003,2. Total Overhead Costs,18. Other Expenses,Contingency,27 - Other Expenses
770001,2. Total Overhead Costs,18. Other Expenses,Other Administrative Costs,27 - Other Expenses
782041,2. Total Overhead Costs,18. Other Expenses,Packaging Allocation,27 - Other Expenses
907010,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Transaction,27 - Other Expenses
908010,2. Total Overhead Costs,18. Other Expenses,Gain/Loss Realized,27 - Other Expenses
503003,2. Total Overhead Costs,18. Other Expenses,Otros Ingresos y Gastos,27 - Other Expenses
908012,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Transaction -Aut.,27 - Other Expenses
908013,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Transaction -Adj.,27 - Other Expenses
907001,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Transaction,27 - Other Expenses
754101,2. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,27 - Other Expenses
754104,2. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,NO IDENTIFICADO
908011,2. Total Overhead Costs,18. Other Expenses,Curr Translation Colones,27 - Other Expenses
782033,2. Total Overhead Costs,18. Other Expenses,Torre Mercedes Def Credit,NO IDENTIFICADO
841005,2. Total Overhead Costs,18. Other Expenses,Trade Rec. Bad Debt Expense Geest,27 - Other Expenses
754201,2. Total Overhead Costs,18. Other Expenses,Gain/Loss Sale of Consolidated,27 - Other Expenses
737030,2. Total Overhead Costs,18. Other Expenses,IT Services,27 - Other Expenses
913010,2. Total Overhead Costs,18. Other Expenses,Intereses Ganados,27 - Other Expenses
441092,2. Total Overhead Costs,18. Other Expenses,Servicios Administrativos,A - REVENUE / CHARGEBACK
442001,2. Total Overhead Costs,18. Other Expenses,Administrative Services,A - REVENUE / CHARGEBACK
782034,2. Total Overhead Costs,18. Other Expenses,Office Services Allocation,27 - Other Expenses
441006,2. Total Overhead Costs,18. Other Expenses,I/C Revenue,A - REVENUE / CHARGEBACK
441010,2. Total Overhead Costs,18. Other Expenses,I/C Sales,A - REVENUE / CHARGEBACK
509017,2. Total Overhead Costs,18. Other Expenses,DFFI Administrative Expenses,25 - Other I/C Costs
917005,2. Total Overhead Costs,18. Other Expenses,I/C Interest Expenses,NO IDENTIFICADO
509055,2. Total Overhead Costs,18. Other Expenses,Transfer Cost,25 - Other I/C Costs
509026,2. Total Overhead Costs,18. Other Expenses,I/C DBS IT Services,25 - Other I/C Costs
509060,2. Total Overhead Costs,18. Other Expenses,Commission Expense,NO IDENTIFICADO
782035,2. Total Overhead Costs,18. Other Expenses,Office Services Allocation,27 - Other Expenses
782046,2. Total Overhead Costs,18. Other Expenses,Alloc charges from d,27 - Other Expenses
925005,2. Total Overhead Costs,18. Other Expenses,Capital Lease Int.Ex,27 - Other Expenses
931002,2. Total Overhead Costs,18. Other Expenses,Int Exp Non Cash Cap,27 - Other Expenses
782053,2. Total Overhead Costs,18. Other Expenses,DBS PURCH ALLOCATION,27 - Other Expenses
782064,2. Total Overhead Costs,18. Other Expenses,Allocated Expenses 753,27 - Other Expenses
782072,2. Total Overhead Costs,18. Other Expenses,Allocated Expenses 706,27 - Other Expenses
782078,2. Total Overhead Costs,18. Other Expenses,752 ALLOCATION,27 - Other Expenses
785102,2. Total Overhead Costs,18. Other Expenses,Misc Non Deductible,NO IDENTIFICADO
785103,2. Total Overhead Costs,18. Other Expenses,Carbon Neutral,27 - Other Expenses
781034,2. Total Overhead Costs,18. Other Expenses,EMPLOYEE RECREATION,NO IDENTIFICADO
782079,2. Total Overhead Costs,18. Other Expenses,766 ALLOCATION,27 - Other Expenses
782059,2. Total Overhead Costs,18. Other Expenses,Accounting Support Allocation,27 - Other Expenses
737078,2. Total Overhead Costs,18. Other Expenses,IT Services from DBS,25 - Other I/C Costs
782057,2. Total Overhead Costs,18. Other Expenses,DBS SUPPORT ALLOCATION,25 - Other I/C Costs
782068,2. Total Overhead Costs,18. Other Expenses,DBS CC ALLOCATION,27 - Other Expenses
785104,2. Total Overhead Costs,18. Other Expenses,Corporate Allocation,27 - Other Expenses
782082,2. Total Overhead Costs,18. Other Expenses,Misc. Admin Costs,27 - Other Expenses
782083,2. Total Overhead Costs,18. Other Expenses,DBS CC ALLOCATION,27 - Other Expenses
782084,2. Total Overhead Costs,18. Other Expenses,DBS CC ALLOCATION,27 - Other Expenses
782085,2. Total Overhead Costs,18. Other Expenses,TREASURY ALLOCATION,27 - Other Expenses
782086,2. Total Overhead Costs,18. Other Expenses,ALLOCATION EXPENSES,27 - Other Expenses
960001,2. Total Overhead Costs,18. Other Expenses,Non US Tax - Costa Rica,27 - Other Expenses
782089,2. Total Overhead Costs,18. Other Expenses,SFCR Security Services,27 - Other Expenses
782090,2. Total Overhead Costs,18. Other Expenses,DBS Purschasing PCARD,27 - Other Expenses
432006,2. Total Overhead Costs,18. Other Expenses,Rev DBS Services,A - REVENUE / CHARGEBACK
782091,2. Total Overhead Costs,18. Other Expenses,AFC Pines G&A Allocation,27 - Other Expenses
779008,2. Total Overhead Costs,18. Other Expenses,Minor Cash Differences,27 - Other Expenses
782092,2. Total Overhead Costs,18. Other Expenses,ALLOCATION EXP FOR DBS,27 - Other Expenses
432008,2. Total Overhead Costs,18. Other Expenses,DFFI SERV REVENUE,A - REVENUE / CHARGEBACK
782100,2. Total Overhead Costs,18. Other Expenses,DBS Pending Invoices,27 - Other Expenses
782071,2. Total Overhead Costs,18. Other Expenses,Building Allocation,25 - Other I/C Costs
737083,2. Total Overhead Costs,18. Other Expenses,DBS Treasury Services,27 - Other Expenses
782101,2. Total Overhead Costs,18. Other Expenses,HR Payroll Allocation,25 - Other I/C Costs
774001,2. Total Overhead Costs,18. Other Expenses,Chartbl Non-Cash Donations and Contributions,27 - Other Expenses
603006,2. Total Overhead Costs,18. Other Expenses,Paper Extraordinary,27 - Other Expenses
908014,2. Total Overhead Costs,18. Other Expenses,Gain/Loss - UNREALIZ,27 - Other Expenses
773001,2. Total Overhead Costs,18. Other Expenses,Other Cash Don&Con,27 - Other Expenses
782104,2. Total Overhead Costs,18. Other Expenses,ALLOC CC HR,27 - Other Expenses
782105,2. Total Overhead Costs,18. Other Expenses,ALLOC CC HR other Ex,27 - Other Expenses
782049,2. Total Overhead Costs,18. Other Expenses,Admin Expenses Exp. T,27 - Other Expenses
785086,2. Total Overhead Costs,18. Other Expenses,Gastos No Deducibles,27 - Other Expenses
908402,2. Total Overhead Costs,18. Other Expenses,Fr Cur Hedging-Rea CR,27 - Other Expenses
432005,2. Total Overhead Costs,18. Other Expenses,Other Rev,A - REVENUE / CHARGEBACK
782107,2. Total Overhead Costs,18. Other Expenses,IT PORTAL RENEW(DEP),27 - Other Expenses
777098,2. Total Overhead Costs,18. Other Expenses,CONTRIBUTIONS NON DEDUCTIBLE,NO IDENTIFICADO
963010,2. Total Overhead Costs,18. Other Expenses,Income Tax Expense,27 - Other Expenses
799601,2. Total Overhead Costs,18. Other Expenses,TRAVEL INSURANCE,27 - Other Expenses
754501,2. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,NO IDENTIFICADO
754601,2. Total Overhead Costs,18. Other Expenses,GL Sale Lease,NO IDENTIFICADO
726001,2. Total Overhead Costs,18. Other Expenses,Servicios de Limpieza,NO IDENTIFICADO
931001,2. Total Overhead Costs,18. Other Expenses,Int Exp Non Cash,27 - Other Expenses
841001,2. Total Overhead Costs,18. Other Expenses,Trade Rec. Bad Debt Expense,27 - Other Expenses
843001,2. Total Overhead Costs,18. Other Expenses,A/R Bad Debt Exp.,NO IDENTIFICADO
725004,2. Total Overhead Costs,18. Other Expenses,Security Equipment,27 - Other Expenses
785105,2. Total Overhead Costs,18. Other Expenses,DHM/Security Allocation,27 - Other Expenses
785106,2. Total Overhead Costs,18. Other Expenses,Quality Allocation,27 - Other Expenses
785107,2. Total Overhead Costs,18. Other Expenses,SFCR JSOLIS Security allocation,27 - Other Expenses
785108,2. Total Overhead Costs,18. Other Expenses,Cost of documentation,27 - Other Expenses
782112,2. Total Overhead Costs,18. Other Expenses,General Storage,27 - Other Expenses
782111,2. Total Overhead Costs,18. Other Expenses,18. Other Expenses,27 - Other Expenses
785109,2. Total Overhead Costs,18. Other Expenses,PCard Rebate,27 - Other Expenses
782113,2. Total Overhead Costs,18. Other Expenses,Administrative Services,27 - Other Expenses
509042,2. Total Overhead Costs,18. Other Expenses,Costo de servicios Relacionada,27 - Other Expenses
782114,2. Total Overhead Costs,18. Other Expenses,Almacenamiento de documentos,27 - Other Expenses
779009,2. Total Overhead Costs,18. Other Expenses,HONORARIOS FIDUCIARIOS,27 - Other Expenses
782115,2. Total Overhead Costs,18. Other Expenses,Corporate IT Allocation,27 - Other Expenses
761005,2. Total Overhead Costs,18. Other Expenses,Mileage,05 - Travel & Meals Expenses
779012,2. Total Overhead Costs,18. Other Expenses,PENNY TEST,27 - Other Expenses
509000,2. Total Overhead Costs,18. Other Expenses,I/C Cost,25 - Other I/C Costs
509001,2. Total Overhead Costs,18. Other Expenses,Related Cost,NO IDENTIFICADO
725000,2. Total Overhead Costs,18. Other Expenses,Security Service Expenses,27 - Other Expenses
726000,2. Total Overhead Costs,18. Other Expenses,Janitorial Service Expense,NO IDENTIFICADO
754100,2. Total Overhead Costs,18. Other Expenses,Gain/Loss on Sale of Assets,NO IDENTIFICADO
801500,2. Total Overhead Costs,18. Other Expenses,Advertising Media Expense,NO IDENTIFICADO
809000,2. Total Overhead Costs,18. Other Expenses,Advertising Agency Fees,NO IDENTIFICADO
810000,2. Total Overhead Costs,18. Other Expenses,Other Advertising Expenses,NO IDENTIFICADO
815000,2. Total Overhead Costs,18. Other Expenses,In Store Sampling Expense,NO IDENTIFICADO
820000,2. Total Overhead Costs,18. Other Expenses,Other Trade Promotion Ex,NO IDENTIFICADO
822500,2. Total Overhead Costs,18. Other Expenses,Sales Aids/Point of Sales,NO IDENTIFICADO
823500,2. Total Overhead Costs,18. Other Expenses,Other Merchandising Exp,NO IDENTIFICADO
826000,2. Total Overhead Costs,18. Other Expenses,Co Sponsord Mktg-Hospitlty,NO IDENTIFICADO
830000,2. Total Overhead Costs,18. Other Expenses,Other Mktg-Nutrition,NO IDENTIFICADO
830500,2. Total Overhead Costs,18. Other Expenses,Misc Marketing Expense,27 - Other Expenses
907000,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Translation,27 - Other Expenses
908000,2. Total Overhead Costs,18. Other Expenses,Foreign Currency Translation,27 - Other Expenses
782116,2. Total Overhead Costs,18. Other Expenses,IT staff backfill,27 - Other Expenses
782117,2. Total Overhead Costs,18. Other Expenses,Payroll recharge,27 - Other Expenses
509044,2. Total Overhead Costs,18. Other Expenses,ERP Project IC charge,25 - Other I/C Costs
782119,2. Total Overhead Costs,18. Other Expenses,DSS ERP ALLOCATION,27 - Other Expenses
744516,2. Total Overhead Costs,18. Other Expenses,Photocopier Rental,NO IDENTIFICADO
782120,2. Total Overhead Costs,18. Other Expenses,ALLOC Social Responsability,27 - Other Expenses
923001,2. Total Overhead Costs,18. Other Expenses,Int Exp Cash-Cap Int,27 - Other Expenses
835001,2. Total Overhead Costs,18. Other Expenses,Marketing Costs,27 - Other Expenses
782122,2. Total Overhead Costs,18. Other Expenses,COVID Allocation,02 - Other Employee Benefits & Costs
509036,2. Total Overhead Costs,18. Other Expenses,I/C Servicios Administrativos,NO IDENTIFICADO
637024,2. Total Overhead Costs,18. Other Expenses,Covid-19 Tests,NO IDENTIFICADO
782123,2. Total Overhead Costs,18. Other Expenses,Director's Compensation,NO IDENTIFICADO
